Entry	Gene names  (ordered locus )	Gene names  (primary )	Gene names  (synonym )	Protein names	Function [CC]	Catalytic activity	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology (biological process)	Gene ontology (cellular component)	Subcellular location [CC]	Pathway	Cofactor	Subunit structure [CC]	EC number	Length	Activity regulation	Kinetics	Miscellaneous [CC]	Status	Protein existence	Proteomes
P74142	slr1984	rps1b		30S ribosomal protein S1 homolog B	FUNCTION: Binds mRNA.		cytosolic small ribosomal subunit [GO:0022627]; mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]	translation [GO:0006412]	cytosolic small ribosomal subunit [GO:0022627]						305				reviewed	Inferred from homology	UP000001425: Chromosome
P73270	sll1077	speB2		Probable agmatinase 2 (EC 3.5.3.11) (Agmatine ureohydrolase 2) (AUH 2)		CATALYTIC ACTIVITY: Reaction=agmatine + H2O = putrescine + urea; Xref=Rhea:RHEA:13929, ChEBI:CHEBI:15377, ChEBI:CHEBI:16199, ChEBI:CHEBI:58145, ChEBI:CHEBI:326268; EC=3.5.3.11;	agmatinase activity [GO:0008783]; metal ion binding [GO:0046872]; putrescine biosynthetic process from arginine, using agmatinase [GO:0033389]	agmatinase activity [GO:0008783]; metal ion binding [GO:0046872]	putrescine biosynthetic process from arginine, using agmatinase [GO:0033389]				COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000255|PROSITE-ProRule:PRU00742}; 		3.5.3.11	390				reviewed	Inferred from homology	UP000001425: Chromosome
Q9FAB3	sll1574/sll1575	spkA		Serine/threonine-protein kinase A (EC 2.7.11.1)	FUNCTION: Protein kinase that regulates cellular motility via phosphorylation of membrane proteins.	CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1;	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]	ATP binding [GO:0005524]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]							2.7.11.1	521				reviewed	Evidence at protein level	UP000001425: Chromosome
P19569	slr0737	psaD		Photosystem I reaction center subunit II (Photosystem I 16 kDa polypeptide) (PSI-D)	FUNCTION: PsaD can form complexes with ferredoxin and ferredoxin-oxidoreductase in photosystem I (PS I) reaction center.		photosystem I reaction center [GO:0009538]; plasma membrane-derived photosystem I [GO:0030094]; photosynthesis [GO:0015979]		photosynthesis [GO:0015979]	photosystem I reaction center [GO:0009538]; plasma membrane-derived photosystem I [GO:0030094]				SUBUNIT: PS I from Synechocystis PCC 6803 contains seven different polypeptides. The polypeptide corresponding to subunit II from higher plants is missing.		141				reviewed	Evidence at protein level	UP000001425: Chromosome
Q59996	sll0184	sigC		Probable RNA polymerase sigma-C factor	FUNCTION: Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released.		DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription, initiation [GO:0006352]	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]	DNA-templated transcription, initiation [GO:0006352]							404				reviewed	Inferred from homology	UP000001425: Chromosome
Q55766	slr0194	rpiA		Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	FUNCTION: Catalyzes the reversible conversion of ribose-5-phosphate to ribulose 5-phosphate. {ECO:0000255|HAMAP-Rule:MF_00170}.	CATALYTIC ACTIVITY: Reaction=aldehydo-D-ribose 5-phosphate = D-ribulose 5-phosphate; Xref=Rhea:RHEA:14657, ChEBI:CHEBI:58121, ChEBI:CHEBI:58273; EC=5.3.1.6; Evidence={ECO:0000255|HAMAP-Rule:MF_00170};	cytosol [GO:0005829]; ribose-5-phosphate isomerase activity [GO:0004751]; D-ribose metabolic process [GO:0006014]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]	ribose-5-phosphate isomerase activity [GO:0004751]	D-ribose metabolic process [GO:0006014]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]	cytosol [GO:0005829]		PATHWAY: Carbohydrate degradation; pentose phosphate pathway; D-ribose 5-phosphate from D-ribulose 5-phosphate (non-oxidative stage): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00170}.		SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00170}.	5.3.1.6	235				reviewed	Inferred from homology	UP000001425: Chromosome
Q55385	slr0923			Probable 30S ribosomal protein PSRP-3 (Ycf65-like protein)	FUNCTION: Probably a ribosomal protein or a ribosome-associated protein. {ECO:0000250}.		ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	translation [GO:0006412]	ribosome [GO:0005840]				SUBUNIT: Part of the 30S ribosomal subunit. {ECO:0000305}.		112				reviewed	Evidence at protein level	UP000001425: Chromosome
P73316	ssl3432	rpsS	rps19	30S ribosomal protein S19	FUNCTION: Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA. {ECO:0000250}.		cytosolic small ribosomal subunit [GO:0022627]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytosolic small ribosomal subunit [GO:0022627]						92				reviewed	Inferred from homology	UP000001425: Chromosome
P72686	slr0741	phoU		Phosphate-specific transport system accessory protein PhoU homolog (Pst system accessory protein PhoU homolog)	FUNCTION: Plays a role in the regulation of phosphate uptake. {ECO:0000250}.		cytoplasm [GO:0005737]; protein homodimerization activity [GO:0042803]; cellular phosphate ion homeostasis [GO:0030643]; negative regulation of phosphate metabolic process [GO:0045936]; negative regulation of phosphate transmembrane transport [GO:2000186]; phosphate ion transport [GO:0006817]	protein homodimerization activity [GO:0042803]	cellular phosphate ion homeostasis [GO:0030643]; negative regulation of phosphate metabolic process [GO:0045936]; negative regulation of phosphate transmembrane transport [GO:2000186]; phosphate ion transport [GO:0006817]	cytoplasm [GO:0005737]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.			SUBUNIT: Homodimer. {ECO:0000250}.		224				reviewed	Inferred from homology	UP000001425: Chromosome
P74003	sll1237	prmC		Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (M.Ssp6803HemKP) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	FUNCTION: Methylates the class 1 translation termination release factors RF1/PrfA and RF2/PrfB on the glutamine residue of the universally conserved GGQ motif. {ECO:0000255|HAMAP-Rule:MF_02126}.	CATALYTIC ACTIVITY: Reaction=L-glutaminyl-[peptide chain release factor] + S-adenosyl-L-methionine = H(+) + N(5)-methyl-L-glutaminyl-[peptide chain release factor] + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:42896, Rhea:RHEA-COMP:10271, Rhea:RHEA-COMP:10272, ChEBI:CHEBI:15378, ChEBI:CHEBI:30011, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:61891; EC=2.1.1.297; Evidence={ECO:0000255|HAMAP-Rule:MF_02126};	nucleic acid binding [GO:0003676]; protein-(glutamine-N5) methyltransferase activity [GO:0102559]; protein-glutamine N-methyltransferase activity [GO:0036009]; peptidyl-glutamine methylation [GO:0018364]	nucleic acid binding [GO:0003676]; protein-(glutamine-N5) methyltransferase activity [GO:0102559]; protein-glutamine N-methyltransferase activity [GO:0036009]	peptidyl-glutamine methylation [GO:0018364]						2.1.1.297	299				reviewed	Inferred from homology	UP000001425: Chromosome
Q57014	sll0517	rbpA		Putative RNA-binding protein RbpA			RNA binding [GO:0003723]	RNA binding [GO:0003723]								101				reviewed	Inferred from homology	UP000001425: Chromosome
P72851	ssr1604	rpmB	rpl28	50S ribosomal protein L28			ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	translation [GO:0006412]	ribosome [GO:0005840]						78				reviewed	Inferred from homology	UP000001425: Chromosome
P73306	sll1810	rplF	rpl6	50S ribosomal protein L6	FUNCTION: This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7/L12 stalk, and near the tRNA binding site of the peptidyltransferase center. {ECO:0000255|HAMAP-Rule:MF_01365}.		cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	cytoplasmic translation [GO:0002181]	cytosolic large ribosomal subunit [GO:0022625]				SUBUNIT: Part of the 50S ribosomal subunit. {ECO:0000255|HAMAP-Rule:MF_01365}.		179				reviewed	Inferred from homology	UP000001425: Chromosome
P73163	sll1298			Putative carboxymethylenebutenolidase (EC 3.1.1.45) (Dienelactone hydrolase) (DLH)		CATALYTIC ACTIVITY: Reaction=2-(5-oxo-2,5-dihydrofuran-2-ylidene)acetate + H2O = 4-oxohex-2-enedioate + H(+); Xref=Rhea:RHEA:12372, ChEBI:CHEBI:12040, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:57263; EC=3.1.1.45;	carboxymethylenebutenolidase activity [GO:0008806]	carboxymethylenebutenolidase activity [GO:0008806]							3.1.1.45	246				reviewed	Inferred from homology	UP000001425: Chromosome
P74518	sll0947	hpf	lrtA	Ribosome hibernation promotion factor (HPF) (Light-repressed protein A)	FUNCTION: Required for dimerization of active 70S ribosomes into 100S ribosomes in stationary phase; 100S ribosomes are translationally inactive and sometimes present during exponential growth. {ECO:0000255|HAMAP-Rule:MF_00839}.		cytosolic small ribosomal subunit [GO:0022627]; ribosomal small subunit binding [GO:0043024]; ribosome binding [GO:0043022]; negative regulation of translational elongation [GO:0045900]; primary metabolic process [GO:0044238]	ribosomal small subunit binding [GO:0043024]; ribosome binding [GO:0043022]	negative regulation of translational elongation [GO:0045900]; primary metabolic process [GO:0044238]	cytosolic small ribosomal subunit [GO:0022627]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00839}.			SUBUNIT: Interacts with 100S ribosomes. {ECO:0000255|HAMAP-Rule:MF_00839}.		191				reviewed	Inferred from homology	UP000001425: Chromosome
P73058	slr1848	hisD		Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	FUNCTION: Catalyzes the sequential NAD-dependent oxidations of L-histidinol to L-histidinaldehyde and then to L-histidine. {ECO:0000250}.	CATALYTIC ACTIVITY: Reaction=H2O + L-histidinol + 2 NAD(+) = 3 H(+) + L-histidine + 2 NADH; Xref=Rhea:RHEA:20641, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:57540, ChEBI:CHEBI:57595, ChEBI:CHEBI:57699, ChEBI:CHEBI:57945; EC=1.1.1.23;	cytoplasm [GO:0005737]; cytosol [GO:0005829]; histidinol dehydrogenase activity [GO:0004399]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; histidine biosynthetic process [GO:0000105]	histidinol dehydrogenase activity [GO:0004399]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]	histidine biosynthetic process [GO:0000105]	cytoplasm [GO:0005737]; cytosol [GO:0005829]		PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 9/9.	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250};  Note=Binds 1 zinc ion per subunit. {ECO:0000250};		1.1.1.23	434				reviewed	Inferred from homology	UP000001425: Chromosome
P72980	slr1598	lipA1		Lipoyl synthase 1 (EC 2.8.1.8) (Lip-syn 1) (LS 1) (Lipoate synthase 1) (Lipoic acid synthase 1) (Sulfur insertion protein LipA 1)	FUNCTION: Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives. {ECO:0000255|HAMAP-Rule:MF_00206}.	CATALYTIC ACTIVITY: Reaction=[[Fe-S] cluster scaffold protein carrying a second [4Fe-4S](2+) cluster] + 4 H(+) + N(6)-octanoyl-L-lysyl-[protein] + 2 oxidized [2Fe-2S]-[ferredoxin] + 2 S-adenosyl-L-methionine = (R)-N(6)-dihydrolipoyl-L-lysyl-[protein] + 2 5'-deoxyadenosine + [[Fe-S] cluster scaffold protein] + 4 Fe(3+) + 2 hydrogen sulfide + 2 L-methionine + 2 reduced [2Fe-2S]-[ferredoxin]; Xref=Rhea:RHEA:16585, Rhea:RHEA-COMP:9928, Rhea:RHEA-COMP:10000, Rhea:RHEA-COMP:10001, Rhea:RHEA-COMP:10475, Rhea:RHEA-COMP:14568, Rhea:RHEA-COMP:14569, ChEBI:CHEBI:15378, ChEBI:CHEBI:17319, ChEBI:CHEBI:29034, ChEBI:CHEBI:29919, ChEBI:CHEBI:33722, ChEBI:CHEBI:33737, ChEBI:CHEBI:33738, ChEBI:CHEBI:57844, ChEBI:CHEBI:59789, ChEBI:CHEBI:78809, ChEBI:CHEBI:83100; EC=2.8.1.8; Evidence={ECO:0000255|HAMAP-Rule:MF_00206};	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; lipoyl synthase activity (acting on glycine-cleavage complex H protein [GO:0102552]; lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein) [GO:0102553]; metal ion binding [GO:0046872]; protein lipoylation [GO:0009249]	4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; lipoyl synthase activity (acting on glycine-cleavage complex H protein [GO:0102552]; lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein) [GO:0102553]; metal ion binding [GO:0046872]	protein lipoylation [GO:0009249]	cytoplasm [GO:0005737]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00206}.	PATHWAY: Protein modification; protein lipoylation via endogenous pathway; protein N(6)-(lipoyl)lysine from octanoyl-[acyl-carrier-protein]: step 2/2. {ECO:0000255|HAMAP-Rule:MF_00206}.	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000255|HAMAP-Rule:MF_00206};  Note=Binds 2 [4Fe-4S] clusters per subunit. One cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000255|HAMAP-Rule:MF_00206};		2.8.1.8	289				reviewed	Inferred from homology	UP000001425: Chromosome
Q08871	sll0262	des6		Acyl-CoA 6-desaturase (EC 1.14.19.3) (Delta(6)-desaturase) (Linoleoyl-CoA desaturase)		CATALYTIC ACTIVITY: Reaction=(9Z,12Z)-octadecadienoyl-CoA + 2 Fe(II)-[cytochrome b5] + 2 H(+) + O2 = (6Z,9Z,12Z)-octadecatrienoyl-CoA + 2 Fe(III)-[cytochrome b5] + 2 H2O; Xref=Rhea:RHEA:47140, Rhea:RHEA-COMP:10438, Rhea:RHEA-COMP:10439, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034, ChEBI:CHEBI:57363, ChEBI:CHEBI:57383; EC=1.14.19.3; CATALYTIC ACTIVITY: Reaction=(9Z,12Z,15Z)-octadecatrienoyl-CoA + 2 Fe(II)-[cytochrome b5] + 2 H(+) + O2 = (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA + 2 Fe(III)-[cytochrome b5] + 2 H2O; Xref=Rhea:RHEA:47144, Rhea:RHEA-COMP:10438, Rhea:RHEA-COMP:10439, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034, ChEBI:CHEBI:71489, ChEBI:CHEBI:74034; EC=1.14.19.3;	integral component of membrane [GO:0016021]; linoleoyl-CoA desaturase activity [GO:0016213]; oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water [GO:0016717]; lipid metabolic process [GO:0006629]	linoleoyl-CoA desaturase activity [GO:0016213]; oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water [GO:0016717]	lipid metabolic process [GO:0006629]	integral component of membrane [GO:0016021]			COFACTOR: Name=Fe cation; Xref=ChEBI:CHEBI:24875; 		1.14.19.3	359				reviewed	Inferred from homology	UP000001425: Chromosome
P73572	sll0868	lipA2		Lipoyl synthase 2 (EC 2.8.1.8) (Lip-syn 2) (LS 2) (Lipoate synthase 2) (Lipoic acid synthase 2) (Sulfur insertion protein LipA 2)	FUNCTION: Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives. {ECO:0000255|HAMAP-Rule:MF_00206}.	CATALYTIC ACTIVITY: Reaction=[[Fe-S] cluster scaffold protein carrying a second [4Fe-4S](2+) cluster] + 4 H(+) + N(6)-octanoyl-L-lysyl-[protein] + 2 oxidized [2Fe-2S]-[ferredoxin] + 2 S-adenosyl-L-methionine = (R)-N(6)-dihydrolipoyl-L-lysyl-[protein] + 2 5'-deoxyadenosine + [[Fe-S] cluster scaffold protein] + 4 Fe(3+) + 2 hydrogen sulfide + 2 L-methionine + 2 reduced [2Fe-2S]-[ferredoxin]; Xref=Rhea:RHEA:16585, Rhea:RHEA-COMP:9928, Rhea:RHEA-COMP:10000, Rhea:RHEA-COMP:10001, Rhea:RHEA-COMP:10475, Rhea:RHEA-COMP:14568, Rhea:RHEA-COMP:14569, ChEBI:CHEBI:15378, ChEBI:CHEBI:17319, ChEBI:CHEBI:29034, ChEBI:CHEBI:29919, ChEBI:CHEBI:33722, ChEBI:CHEBI:33737, ChEBI:CHEBI:33738, ChEBI:CHEBI:57844, ChEBI:CHEBI:59789, ChEBI:CHEBI:78809, ChEBI:CHEBI:83100; EC=2.8.1.8; Evidence={ECO:0000255|HAMAP-Rule:MF_00206};	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; lipoyl synthase activity (acting on glycine-cleavage complex H protein [GO:0102552]; lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein) [GO:0102553]; metal ion binding [GO:0046872]; protein lipoylation [GO:0009249]	4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; lipoyl synthase activity (acting on glycine-cleavage complex H protein [GO:0102552]; lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein) [GO:0102553]; metal ion binding [GO:0046872]	protein lipoylation [GO:0009249]	cytoplasm [GO:0005737]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00206}.	PATHWAY: Protein modification; protein lipoylation via endogenous pathway; protein N(6)-(lipoyl)lysine from octanoyl-[acyl-carrier-protein]: step 2/2. {ECO:0000255|HAMAP-Rule:MF_00206}.	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000255|HAMAP-Rule:MF_00206};  Note=Binds 2 [4Fe-4S] clusters per subunit. One cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000255|HAMAP-Rule:MF_00206};		2.8.1.8	303				reviewed	Inferred from homology	UP000001425: Chromosome
P72846	sll1187	lgt		Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase (EC 2.5.1.145)	FUNCTION: Catalyzes the transfer of the diacylglyceryl group from phosphatidylglycerol to the sulfhydryl group of the N-terminal cysteine of a prolipoprotein, the first step in the formation of mature lipoproteins. {ECO:0000255|HAMAP-Rule:MF_01147}.	CATALYTIC ACTIVITY: Reaction=1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol) + L-cysteinyl-[prolipoprotein] = H(+) + S-1,2-diacyl-sn-glyceryl-L-cysteinyl-[prolipoprotein] + sn-glycerol 1-phosphate; Xref=Rhea:RHEA:56712, Rhea:RHEA-COMP:14679, Rhea:RHEA-COMP:14680, ChEBI:CHEBI:15378, ChEBI:CHEBI:29950, ChEBI:CHEBI:57685, ChEBI:CHEBI:64716, ChEBI:CHEBI:140658; EC=2.5.1.145; Evidence={ECO:0000255|HAMAP-Rule:MF_01147};	integral component of plasma membrane [GO:0005887]; phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity [GO:0008961]; lipoprotein biosynthetic process [GO:0042158]	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity [GO:0008961]	lipoprotein biosynthetic process [GO:0042158]	integral component of plasma membrane [GO:0005887]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01147}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01147}.	PATHWAY: Protein modification; lipoprotein biosynthesis (diacylglyceryl transfer). {ECO:0000255|HAMAP-Rule:MF_01147}.			2.5.1.145	283				reviewed	Inferred from homology	UP000001425: Chromosome
P72988	sll1508	lpxC		UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	FUNCTION: Catalyzes the hydrolysis of UDP-3-O-myristoyl-N-acetylglucosamine to form UDP-3-O-myristoylglucosamine and acetate, the committed step in lipid A biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00388}.	CATALYTIC ACTIVITY: Reaction=a UDP-3-O-[(3R)-3-hydroxyacyl]-N-acetyl-alpha-D-glucosamine + H2O = a UDP-3-O-[(3R)-3-hydroxyacyl]-alpha-D-glucosamine + acetate; Xref=Rhea:RHEA:67816, ChEBI:CHEBI:15377, ChEBI:CHEBI:30089, ChEBI:CHEBI:137740, ChEBI:CHEBI:173225; EC=3.5.1.108; Evidence={ECO:0000255|HAMAP-Rule:MF_00388};	metal ion binding [GO:0046872]; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity [GO:0008759]; UDP-3-O-acyl-N-acetylglucosamine deacetylase activity [GO:0103117]; lipid A biosynthetic process [GO:0009245]	metal ion binding [GO:0046872]; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity [GO:0008759]; UDP-3-O-acyl-N-acetylglucosamine deacetylase activity [GO:0103117]	lipid A biosynthetic process [GO:0009245]			PATHWAY: Glycolipid biosynthesis; lipid IV(A) biosynthesis; lipid IV(A) from (3R)-3-hydroxytetradecanoyl-[acyl-carrier-protein] and UDP-N-acetyl-alpha-D-glucosamine: step 2/6. {ECO:0000255|HAMAP-Rule:MF_00388}.	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000255|HAMAP-Rule:MF_00388}; 		3.5.1.108	276				reviewed	Inferred from homology	UP000001425: Chromosome
Q55595	slr0381	gloA		Probable lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	FUNCTION: Catalyzes the conversion of hemimercaptal, formed from methylglyoxal and glutathione, to S-lactoylglutathione. {ECO:0000250}.	CATALYTIC ACTIVITY: Reaction=(R)-S-lactoylglutathione = glutathione + methylglyoxal; Xref=Rhea:RHEA:19069, ChEBI:CHEBI:17158, ChEBI:CHEBI:57474, ChEBI:CHEBI:57925; EC=4.4.1.5;	cytoplasm [GO:0005737]; lactoylglutathione lyase activity [GO:0004462]; metal ion binding [GO:0046872]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]	lactoylglutathione lyase activity [GO:0004462]; metal ion binding [GO:0046872]	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]	cytoplasm [GO:0005737]		PATHWAY: Secondary metabolite metabolism; methylglyoxal degradation; (R)-lactate from methylglyoxal: step 1/2.	COFACTOR: Name=Ni(2+); Xref=ChEBI:CHEBI:49786; Evidence={ECO:0000250};  Note=Binds 1 nickel ion per subunit. {ECO:0000250};		4.4.1.5	131				reviewed	Inferred from homology	UP000001425: Chromosome
P73571	sll0869	aat		Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6) (L/F-transferase) (Leucyltransferase) (Phenyalanyltransferase)	FUNCTION: Functions in the N-end rule pathway of protein degradation where it conjugates Leu, Phe and, less efficiently, Met from aminoacyl-tRNAs to the N-termini of proteins containing an N-terminal arginine or lysine. {ECO:0000255|HAMAP-Rule:MF_00688}.	CATALYTIC ACTIVITY: Reaction=L-leucyl-tRNA(Leu) + N-terminal L-lysyl-[protein] = H(+) + N-terminal L-leucyl-L-lysyl-[protein] + tRNA(Leu); Xref=Rhea:RHEA:12340, Rhea:RHEA-COMP:9613, Rhea:RHEA-COMP:9622, Rhea:RHEA-COMP:12670, Rhea:RHEA-COMP:12671, ChEBI:CHEBI:15378, ChEBI:CHEBI:65249, ChEBI:CHEBI:78442, ChEBI:CHEBI:78494, ChEBI:CHEBI:133043; EC=2.3.2.6; Evidence={ECO:0000255|HAMAP-Rule:MF_00688}; CATALYTIC ACTIVITY: Reaction=L-leucyl-tRNA(Leu) + N-terminal L-arginyl-[protein] = H(+) + N-terminal L-leucyl-L-arginyl-[protein] + tRNA(Leu); Xref=Rhea:RHEA:50416, Rhea:RHEA-COMP:9613, Rhea:RHEA-COMP:9622, Rhea:RHEA-COMP:12672, Rhea:RHEA-COMP:12673, ChEBI:CHEBI:15378, ChEBI:CHEBI:64719, ChEBI:CHEBI:78442, ChEBI:CHEBI:78494, ChEBI:CHEBI:133044; EC=2.3.2.6; Evidence={ECO:0000255|HAMAP-Rule:MF_00688}; CATALYTIC ACTIVITY: Reaction=an N-terminal L-alpha-aminoacyl-[protein] + L-phenylalanyl-tRNA(Phe) = an N-terminal L-phenylalanyl-L-alpha-aminoacyl-[protein] + tRNA(Phe); Xref=Rhea:RHEA:43632, Rhea:RHEA-COMP:9668, Rhea:RHEA-COMP:9699, Rhea:RHEA-COMP:10636, Rhea:RHEA-COMP:10637, ChEBI:CHEBI:78442, ChEBI:CHEBI:78531, ChEBI:CHEBI:78597, ChEBI:CHEBI:83561; EC=2.3.2.6; Evidence={ECO:0000255|HAMAP-Rule:MF_00688};	cytoplasm [GO:0005737]; leucyltransferase activity [GO:0008914]; protein catabolic process [GO:0030163]	leucyltransferase activity [GO:0008914]	protein catabolic process [GO:0030163]	cytoplasm [GO:0005737]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00688}.				2.3.2.6	198				reviewed	Inferred from homology	UP000001425: Chromosome
